Afghanistan sanctions,Afghanistan
Cuba sanctions,Cuba
Iran Sanctions,Iran (Islamic Republic of)
Iraq Sanctions,Iraq
North Korea Sanctions,Kora (the Democratic People's Republic of)
Somalia Sanctions,Somalia
South Sudan Sanctions,South Sudan
Syria Sanctions,Syrian Arab Republic (the)
Russia ukraine,Ukraine
Russian Sanctions,Ukraine
